,Year,State,Overall_Homeless,average_debt,population,total_poverty_rate,total_drug_rate
268,2013,North Dakota,0.0028610977820615114,0.7550000000000001,723149,0.0009901140705442448,0.00016870658743910313
269,2013,Nebraska,0.001685592286043671,1.175,1865813,0.0010011721431890548,0.00016346761438579323
270,2013,New Hampshire,0.0010902060768252476,1.66,1327272,0.0009802060165512419,0.00024335629772947822
271,2013,New Jersey,0.0013549607742129807,1.78,8857821,0.0009853439124588317,0.00017024502978779996
272,2013,New Mexico,0.001346977995855379,1.66,2092833,0.0009933902991781953,0.0002102413331594064
273,2013,Nevada,0.0025347898922417206,1.95,2776956,0.0009989355250857414,0.00018977614337425583
274,2013,New York,0.003945178577033242,1.175,19626488,0.0009854029921196293,0.0002057933136076103
275,2013,Ohio,0.0010643633699411004,1.28,11579692,0.0009741191734633357,0.00017280252359043748
276,2013,Oklahoma,0.001143779105324982,1.175,3853891,0.0009592902342074542,0.00015620576710654246
277,2013,Oregon,0.0035223273557571017,1.95,3924110,0.001011439536608301,0.0002512671663128709
278,2013,Pennsylvania,0.0011804808593237094,1.28,12779538,0.001001601153343728,0.00017668870345704203
279,2013,Rhode Island,0.001311152374095267,1.66,1055560,0.0009776800939785516,0.00025484103224828527
280,2013,South Carolina,0.0013729240660119682,1.95,4766469,0.0009810197024254222,0.00016385294858730856
281,2013,South Dakota,0.0012981295780129598,1.36,842751,0.000981310019210894,0.00015307012391560496
282,2013,Tennessee,0.0014665358769501288,1.36,6496943,0.0009653771011997489,0.00014806963828988494
283,2013,Texas,0.0011184061901733883,0.7550000000000001,26479646,0.0009894392092703959,0.00014917117849687266
284,2013,Utah,0.0011304783092708536,1.78,2898773,0.0010083576740917623,0.00013729947119005178
285,2013,Virginia,0.0009235862861547694,1.95,8255861,0.000996867558695574,0.000188593291481046
286,2013,Vermont,0.0023204485136521847,1.55,626603,0.001003825388643208,0.0002617287181836027
